,Organization,Address,City,State,Zip,Phone,Service Area,Full Address,Lat_Long,Lat,Long
10,Catholic Charities Chicago – Emergency Assistance,721 N La Salle St,Chicago,IL,60610,(312) 655-7000,Chicago North,"721 N La Salle St, Chicago, IL 60610","(41.8952047, -87.6323269)",41.8952047,-87.6323269
11,Chicago Department of Human Services – Garfield Center,10 S Kedzie Ave,Chicago,IL,60612,(312) 746-5400,Chicago West,"10 S Kedzie Ave, Chicago, IL 60612","(41.8805077, -87.70661109999999)",41.8805077,-87.70661109999999
12,Salvation Army – Corps Community Center Midwest,20 S Campbell Ave,Chicago,IL,60612,(312) 733-4801,Chicago West,"20 S Campbell Ave, Chicago, IL 60612","(41.8804382, -87.68932439999999)",41.8804382,-87.68932439999999
13,Lakeview Pantry-Sheridan Market,3945 N Sheridan Rd,Chicago,IL,60613,(773) 525-1777,Chicago North,"3945 N Sheridan Rd, Chicago, IL 60613","(41.9540042, -87.65409059999999)",41.9540042,-87.65409059999999
14,Door of Hope,5313 S Indiana Ave,Chicago,IL,60615,(773) 624-0586,Chicago South,"5313 S Indiana Ave, Chicago, IL 60615","(41.79796169999999, -87.62050839999999)",41.79796169999999,-87.62050839999999
15,Chicago Department of Human Services – South Chicago,8759 S Commercial Ave,Chicago,IL,60617,(312) 747-0331,Chicago South,"8759 S Commercial Ave, Chicago, IL 60617","(41.7357218, -87.55113759999999)",41.7357218,-87.55113759999999
16,Common Pantry,3744 N Damen Ave,Chicago,IL,60618,(773) 327-0553,Chicago North,"3744 N Damen Ave, Chicago, IL 60618","(41.9500062, -87.67881659999999)",41.9500062,-87.67881659999999
17,Korean American Community Services,4300 N California Ave,Chicago,IL,60618,(773) 583-5501,Chicago Northwest,"4300 N California Ave, Chicago, IL 60618","(41.95965109999999, -87.698709)",41.95965109999999,-87.698709
18,South Central Community Services,8316 S Ellis Ave,Chicago,IL,60619,(773) 483-0900,Chicago South,"8316 S Ellis Ave, Chicago, IL 60619","(41.7433832, -87.6005065)",41.7433832,-87.6005065
19,Catholic Charities Chicago – Saint Sabina’s Emergency Services Center,1120 W 79th St,Chicago,IL,60620,(773) 846-3018,Chicago South,"1120 W 79th St, Chicago, IL 60620","(41.75083000000001, -87.6522201)",41.75083000000001,-87.6522201
20,Chicago Department of Human Services – Englewood,641 W 63rd St,Chicago,IL,60621,(312) 747-0200,Chicago South,"641 W 63rd St, Chicago, IL 60621","(41.77951789999999, -87.64137760000001)",41.77951789999999,-87.64137760000001
21,Salvation Army- Adele and Robert Stern Red Shield Center (Chicago Englewood Corps),945 W 69th St,Chicago,IL,60621,(773) 358-3200,Chicago South,"945 W 69th St, Chicago, IL 60621","(41.7684651, -87.6489412)",41.7684651,-87.6489412
22,Will Feed Community Organization,6401 S Sangamon St,Chicago,IL,60621,(773) 651-9220,Chicago South,"6401 S Sangamon St, Chicago, IL 60621","(41.7777098, -87.6480539)",41.7777098,-87.6480539
23,Chicago Department of Human Services,1615 W Chicago Ave,Chicago,IL,60622,(312) 746-8545,Chicago West,"1615 W Chicago Ave, Chicago, IL 60622","(41.8958561, -87.6679557)",41.8958561,-87.6679557
24,Northwestern Settlement,1400 W Augusta Blvd,Chicago,IL,60642,(773) 278-7471,Chicago West,"1400 W Augusta Blvd, Chicago, IL 60642","(41.9000176, -87.6627352)",41.9000176,-87.6627352
25,Salvation Army – Corps Community Center La Villita,3621 W 24th St,Chicago,IL,60623,(773) 257-0700,Chicago West,"3621 W 24th St, Chicago, IL 60623","(41.8478084, -87.7157313)",41.8478084,-87.7157313
26,Howard Area Community Center,7648 N Paulina St,Chicago,IL,60626,(773) 262-6622,Chicago North,"7648 N Paulina St, Chicago, IL 60626","(42.0207957, -87.67338889999999)",42.0207957,-87.67338889999999
27,Roseland Christian Ministries Center,10858 S Michigan Ave,Chicago,IL,60628,(773) 264-5665,Chicago South,"10858 S Michigan Ave, Chicago, IL 60628","(41.6964437, -87.6211283)",41.6964437,-87.6211283
28,Inner City Muslim Action Network,2744 W 63rd St,Chicago,IL,60629,(773) 434-4626,Chicago South,"2744 W 63rd St, Chicago, IL 60629","(41.779335, -87.69281819999999)",41.779335,-87.69281819999999
29,Salvation Army – Corps Community Center Korean,5040 N Pulaski Rd,Chicago,IL,60630,(773) 725-1100,Chicago Northwest,"5040 N Pulaski Rd, Chicago, IL 60630","(41.9731058, -87.7291468)",41.9731058,-87.7291468
30,Olive Branch Mission,6310 S Claremont Ave,Chicago,IL,60636,(773) 476-6200,Chicago South,"6310 S Claremont Ave, Chicago, IL 60636","(41.7789376, -87.6826906)",41.7789376,-87.6826906
31,Salvation Army – Corps Community Center Midway Citadel,5036 W 47th St,Chicago,IL,60638,(773) 838-8005,Chicago South,"5036 W 47th St, Chicago, IL 60638","(41.8077914, -87.7499186)",41.8077914,-87.7499186
32,Care For Real,5339 N Sheridan Rd,Chicago,IL,60640,(773) 769-6182,Chicago North,"5339 N Sheridan Rd, Chicago, IL 60640","(41.9795699, -87.6547202)",41.9795699,-87.6547202
33,Chicago Department of Human Services – North Area,4740 N Sheridan Rd,Chicago,IL,60640,(312) 744-2580,Chicago North,"4740 N Sheridan Rd, Chicago, IL 60640","(41.9684056, -87.65505279999999)",41.9684056,-87.65505279999999
34,Cornerstone Community Outreach,4628 N Clifton Ave,Chicago,IL,60640,(773) 271-8163,Chicago North,"4628 N Clifton Ave, Chicago, IL 60640","(41.966404, -87.6590013)",41.966404,-87.6590013
35,Inspiration Cafe,4554 N Broadway Ave,Chicago,IL,60640,(773) 878-0981,Chicago North,"4554 N Broadway Ave, Chicago, IL 60640","(41.96484299999999, -87.6573404)",41.96484299999999,-87.6573404
36,Saint Augustine’s Center for American Indians,4512 N Sheridan Rd,Chicago,IL,60640,(773) 784-1050,Chicago North,"4512 N Sheridan Rd, Chicago, IL 60640","(41.9640125, -87.6550113)",41.9640125,-87.6550113
37,Salvation Army – Corps Community Center Uptown,1025 W Sunnyside Ave,Chicago,IL,60640,(773) 271-6182,Chicago North,"1025 W Sunnyside Ave, Chicago, IL 60640","(41.9635138, -87.65604119999999)",41.9635138,-87.65604119999999
38,Circle Urban Ministries,118 N Central Ave,Chicago,IL,60644,(773) 921-1446,Chicago West,"118 N Central Ave, Chicago, IL 60644","(41.882898, -87.76522170000001)",41.882898,-87.76522170000001
39,The Ark,6450 N California Ave,Chicago,IL,60645,(773) 973-1000,Chicago North,"6450 N California Ave, Chicago, IL 60645","(41.9992258, -87.7000499)",41.9992258,-87.7000499
40,Lakeview Pantry-La Casa Norte’s Fresh Market,3533 W North Ave,Chicago,IL,60647,(773) 276-4900,Chicago Northwest,"3533 W North Ave, Chicago, IL 60647","(41.9098152, -87.71578)",41.9098152,-87.71578
41,Chicago Department of Human Services – King Center,4314 S Cottage Grove Ave,Chicago,IL,60653,(312) 747-2300,Chicago South,"4314 S Cottage Grove Ave, Chicago, IL 60653","(41.8164638, -87.60735849999999)",41.8164638,-87.60735849999999
42,Kenwood Oakland Community Organization,4242 S Cottage Grove Ave,Chicago,IL,60653,(773) 548-7500,Chicago South,"4242 S Cottage Grove Ave, Chicago, IL 60653","(41.8173564, -87.60704369999999)",41.8173564,-87.60704369999999
43,Matthew House,3722 S Indiana Ave,Chicago,IL,60653,(773) 536-6628,Chicago South,"3722 S Indiana Ave, Chicago, IL 60653","(41.8266621, -87.62191279999999)",41.8266621,-87.62191279999999
44,St. Vincent DePaul Center,2145 N Halsted,Chicago,IL,60614,(312) 278-4130,Chicago North,"2145 N Halsted, Chicago, IL 60614","(41.9216005, -87.6478621)",41.9216005,-87.6478621
45,Marillac Social Center,2859 W Jackson,Chicago,IL,60612,(773) 584-4539,Chicago West,"2859 W Jackson, Chicago, IL 60612","(41.877124, -87.698431)",41.877124,-87.698431
46,Bloom Township Senior Services,425 S Halsted St,Chicago Heights,IL,60411,(708) 754-9400,Suburban Cook South,"425 S Halsted St, Chicago Heights, IL 60411","(41.52331299999999, -87.63534899999999)",41.52331299999999,-87.63534899999999
47,Jones Memorial Community Center,220 E 15th St,Chicago Heights,IL,60411,(708) 757-5395,Suburban Cook South,"220 E 15th St, Chicago Heights, IL 60411","(41.5040066, -87.6278305)",41.5040066,-87.6278305
48,Respond Now,1439 Emerald Ave,Chicago Heights,IL,60411,(708) 755-4357,Suburban Cook South,"1439 Emerald Ave, Chicago Heights, IL 60411","(41.5048109, -87.6349487)",41.5048109,-87.6349487
49,Catholic Charities Chicago – West Suburban,1400 S Austin,Cicero,IL,60804,(708) 329-4022,Suburban Cook West,"1400 S Austin, Cicero, IL 60804","(41.8616004, -87.77442339999999)",41.8616004,-87.77442339999999
50,CEDA Near West,6141 W Roosevelt Rd,Cicero,IL,60804,(708) 222-3824,Suburban Cook West,"6141 W Roosevelt Rd, Cicero, IL 60804","(41.8652263, -87.778483)",41.8652263,-87.778483
51,Salvation Army – Corps Community Center Templo Laramie,2337 S Laramie Ave,Cicero,IL,60804,(708) 222-0177,Suburban Cook West,"2337 S Laramie Ave, Cicero, IL 60804","(41.8480797, -87.75353199999999)",41.8480797,-87.75353199999999
52,Catholic Charities Chicago – North/Northwest Suburban Regional Services,1717 Rand Rd,Des Plaines,IL,60016,(847) 376-2121,Suburban Cook Northwest,"1717 Rand Rd, Des Plaines, IL 60016","(42.0451693, -87.8815936)",42.0451693,-87.8815936
53,Salvation Army – Corps Community Center Des Plaines,609 W Dempster Ave,Des Plaines,IL,60016,(847) 981-9111,Suburban Cook Northwest,"609 W Dempster Ave, Des Plaines, IL 60016","(42.0370233, -87.9353952)",42.0370233,-87.9353952
54,Self Help Closet and Pantry of Des Plaines,600 E Algonquin,Des Plaines,IL,60016,(847) 375-1443,Suburban Cook Northwest,"600 E Algonquin, Des Plaines, IL 60016","(42.0309728, -87.90862659999999)",42.0309728,-87.90862659999999
55,Salvation Army – Disaster Services,1000 W Pratt Blvd,Elk Grove Village,IL,60007,(847) 709-6700,Suburban Cook Northwest,"1000 W Pratt Blvd, Elk Grove Village, IL 60007","(41.9985933, -87.9718458)",41.9985933,-87.9718458
56,Vital Bridges – Elk Grove,990 Criss Cir,Elk Grove Village,IL,60007,(847) 228-5200,Suburban Cook Northwest,"990 Criss Cir, Elk Grove Village, IL 60007","(42.0318022, -87.97229829999999)",42.0318022,-87.97229829999999
57,Family Focus – Evanston Our Place,2010 Dewey Ave,Evanston,IL,60201,(847) 475-7570,Suburban Cook North,"2010 Dewey Ave, Evanston, IL 60201","(42.0544389, -87.69608579999999)",42.0544389,-87.69608579999999
58,Salvation Army – Corps Community Center Evanston,1403 Sherman Ave,Evanston,IL,60201,(847) 866-9770,Suburban Cook North,"1403 Sherman Ave, Evanston, IL 60201","(42.042846, -87.68158480000001)",42.042846,-87.68158480000001
59,Ford Heights Community Service Center,943 E Lincoln Hwy,Ford Heights,IL,60411,(708) 758-2565,Suburban Cook South,"943 E Lincoln Hwy, Ford Heights, IL 60411","(41.5064304, -87.5930851)",41.5064304,-87.5930851
60,Leyden Family Service and Mental Health Center,10001 W Grand Ave,Franklin Park,IL,60131,(847) 451-0330,Suburban Cook West,"10001 W Grand Ave, Franklin Park, IL 60131","(41.9300083, -87.87493549999999)",41.9300083,-87.87493549999999
61,Restoration Ministries,253 E 159th St,Harvey,IL,60426,(708) 333-3370,Suburban Cook South,"253 E 159th St, Harvey, IL 60426","(41.6011883, -87.64200330000001)",41.6011883,-87.64200330000001
62,LBD Enterprises and South Suburban Toys for Tots,16710 S Richmond St,Hazel Crest,IL,60429,(708) 596-7168,Suburban Cook South,"16710 S Richmond St, Hazel Crest, IL 60429","(41.573119, -87.6926257)",41.573119,-87.6926257
63,American Red Cross – Hillside,350 N Mannheim Rd,Hillside,IL,60162,(708) 547-6516,Suburban Cook West,"350 N Mannheim Rd, Hillside, IL 60162","(41.8776132, -87.88370239999999)",41.8776132,-87.88370239999999
64,Township Supervisor Northwest Cook – Schaumburg,1 Illinois Blvd,Hoffman Estates,IL,60194,(847) 884-0030,Suburban Cook Northwest,"1 Illinois Blvd, Hoffman Estates, IL 60194","(42.0278152, -88.0919843)",42.0278152,-88.0919843
65,Assembly of God Community Food Pantry,2990 Ridge Rd,Lansing,IL,60438,(708) 895-3807,Suburban Cook South,"2990 Ridge Rd, Lansing, IL 60438","(41.5651074, -87.5444143)",41.5651074,-87.5444143
66,CEDA Northwest,1300 W Northwest Hwy,Mount Prospect,IL,60056,(847) 392-2332,Suburban Cook Northwest,"1300 W Northwest Hwy, Mount Prospect, IL 60056","(42.0721284, -87.95528449999999)",42.0721284,-87.95528449999999
67,Niles Senior Center,999 Civic Center Dr,Niles,IL,60714,(847) 588-8420,Suburban Cook North,"999 Civic Center Dr, Niles, IL 60714","(42.02518010000001, -87.8010774)",42.02518010000001,-87.8010774
68,Salvation Army – Corps Community Center Norridge Citadel,8354 W Foster Ave,Norridge,IL,60706,(708) 456-6220,Suburban Cook North,"8354 W Foster Ave, Norridge, IL 60706","(41.974384, -87.8357116)",41.974384,-87.8357116
69,Township Supervisor South Cook – Orland,14807 S Ravinia Ave,Orland Park,IL,60462,(708) 403-4222,Suburban Cook South,"14807 S Ravinia Ave, Orland Park, IL 60462","(41.62077060000001, -87.8564189)",41.62077060000001,-87.8564189
70,Township Supervisor Northwest Cook – Palatine,721 S Quentin Rd,Palatine,IL,60067,(847) 358-6700,Suburban Cook Northwest,"721 S Quentin Rd, Palatine, IL 60067","(42.0965895, -88.0623466)",42.0965895,-88.0623466
71,Center of Concern,1665 El Blvd,Des Plaines,IL,60016,(847) 823-0453,Suburban Cook North,"1665 El Blvd, Des Plaines, IL 60016","(42.0488548, -87.8844309)",42.0488548,-87.8844309
72,Township Supervisor South Cook – Rich,22013 Governors Hwy,Richton Park,IL,60471,(708) 748-6722,Suburban Cook South,"22013 Governors Hwy, Richton Park, IL 60471","(41.489439, -87.712462)",41.489439,-87.712462
73,Niles Township Food Pantry,5255 Lincoln Ave,Skokie,IL,60077,(847) 673-9300,Suburban Cook North,"5255 Lincoln Ave, Skokie, IL 60077","(42.0332576, -87.7591568)",42.0332576,-87.7591568
74,Township Supervisor South Cook – Thornton,333 E 162nd St,South Holland,IL,60473,(708) 596-6040,Suburban Cook South,"333 E 162nd St, South Holland, IL 60473","(41.60035269999999, -87.609222)",41.60035269999999,-87.609222
75,CEDA Southwest,7666 W 63th St,Summit,IL,60501,(708) 458-2736,Suburban Cook West,"7666 W 63th St, Summit, IL 60501","(41.7773379, -87.8131106)",41.7773379,-87.8131106
76,Crisis Center for South Suburbia,6602 W. 111th St,Worth,IL,60482,(708) 429-7255,Suburban Cook South,"6602 W. 111th St, Worth, IL 60482","(41.690862, -87.7842496)",41.690862,-87.7842496
77,Together We Cope,17010 Oak Park Ave,Tinley Park,IL,60477,(708) 633-5040,Suburban Cook South,"17010 Oak Park Ave, Tinley Park, IL 60477","(41.5821008, -87.7850306)",41.5821008,-87.7850306
78,HAVEN Youth and Family Services,825 Green Bay Rd #200,Wilmette,IL,60091,(847) 251-6630,Suburban Cook North,"825 Green Bay Rd #200, Wilmette, IL 60091","(42.0785648, -87.71122249999999)",42.0785648,-87.71122249999999
79,Greater Chicago Food Depository,4100 W. 42nd Place,Chicago,IL,60632,(773) 247-3663,Chicago West,"4100 W. 42nd Place, Chicago, IL 60632","(41.8176944, -87.72691859999999)",41.8176944,-87.72691859999999
80,Bloom Township Senior Services,425 S Halsted St,Chicago Heights,IL,60411,(708) 754-9400,Suburban Cook South,"425 S Halsted St, Chicago Heights, IL 60411","(41.52331299999999, -87.63534899999999)",41.52331299999999,-87.63534899999999
81,Jones Memorial Community Center,220 E 15th St,Chicago Heights,IL,60411,(708) 757-5395,Suburban Cook South,"220 E 15th St, Chicago Heights, IL 60411","(41.5040066, -87.6278305)",41.5040066,-87.6278305
82,Respond Now,1439 Emerald Ave,Chicago Heights,IL,60411,(708) 755-4357,Suburban Cook South,"1439 Emerald Ave, Chicago Heights, IL 60411","(41.5048109, -87.6349487)",41.5048109,-87.6349487
83,Catholic Charities Chicago – West Suburban,1400 S Austin,Cicero,IL,60804,(708) 329-4022,Suburban Cook West,"1400 S Austin, Cicero, IL 60804","(41.8616004, -87.77442339999999)",41.8616004,-87.77442339999999
84,CEDA Near West,6141 W Roosevelt Rd,Cicero,IL,60804,(708) 222-3824,Suburban Cook West,"6141 W Roosevelt Rd, Cicero, IL 60804","(41.8652263, -87.778483)",41.8652263,-87.778483
85,Salvation Army – Corps Community Center Templo Laramie,2337 S Laramie Ave,Cicero,IL,60804,(708) 222-0177,Suburban Cook West,"2337 S Laramie Ave, Cicero, IL 60804","(41.8480797, -87.75353199999999)",41.8480797,-87.75353199999999
86,Catholic Charities Chicago – North/Northwest Suburban Regional Services,1717 Rand Rd,Des Plaines,IL,60016,(847) 376-2121,Suburban Cook Northwest,"1717 Rand Rd, Des Plaines, IL 60016","(42.0451693, -87.8815936)",42.0451693,-87.8815936
87,Salvation Army – Corps Community Center Des Plaines,609 W Dempster Ave,Des Plaines,IL,60016,(847) 981-9111,Suburban Cook Northwest,"609 W Dempster Ave, Des Plaines, IL 60016","(42.0370233, -87.9353952)",42.0370233,-87.9353952
88,Self Help Closet and Pantry of Des Plaines,600 E Algonquin,Des Plaines,IL,60016,(847) 375-1443,Suburban Cook Northwest,"600 E Algonquin, Des Plaines, IL 60016","(42.0309728, -87.90862659999999)",42.0309728,-87.90862659999999
89,Salvation Army – Disaster Services,1000 W Pratt Blvd,Elk Grove Village,IL,60007,(847) 709-6700,Suburban Cook Northwest,"1000 W Pratt Blvd, Elk Grove Village, IL 60007","(41.9985933, -87.9718458)",41.9985933,-87.9718458
90,Vital Bridges – Elk Grove,990 Criss Cir,Elk Grove Village,IL,60007,(847) 228-5200,Suburban Cook Northwest,"990 Criss Cir, Elk Grove Village, IL 60007","(42.0318022, -87.97229829999999)",42.0318022,-87.97229829999999
91,Family Focus – Evanston Our Place,2010 Dewey Ave,Evanston,IL,60201,(847) 475-7570,Suburban Cook North,"2010 Dewey Ave, Evanston, IL 60201","(42.0544389, -87.69608579999999)",42.0544389,-87.69608579999999
92,Salvation Army – Corps Community Center Evanston,1403 Sherman Ave,Evanston,IL,60201,(847) 866-9770,Suburban Cook North,"1403 Sherman Ave, Evanston, IL 60201","(42.042846, -87.68158480000001)",42.042846,-87.68158480000001
93,Ford Heights Community Service Center,943 E Lincoln Hwy,Ford Heights,IL,60411,(708) 758-2565,Suburban Cook South,"943 E Lincoln Hwy, Ford Heights, IL 60411","(41.5064304, -87.5930851)",41.5064304,-87.5930851
94,Leyden Family Service and Mental Health Center,10001 W Grand Ave,Franklin Park,IL,60131,(847) 451-0330,Suburban Cook West,"10001 W Grand Ave, Franklin Park, IL 60131","(41.9300083, -87.87493549999999)",41.9300083,-87.87493549999999
95,Restoration Ministries,253 E 159th St,Harvey,IL,60426,(708) 333-3370,Suburban Cook South,"253 E 159th St, Harvey, IL 60426","(41.6011883, -87.64200330000001)",41.6011883,-87.64200330000001
96,LBD Enterprises and South Suburban Toys for Tots,16710 S Richmond St,Hazel Crest,IL,60429,(708) 596-7168,Suburban Cook South,"16710 S Richmond St, Hazel Crest, IL 60429","(41.573119, -87.6926257)",41.573119,-87.6926257
97,American Red Cross – Hillside,350 N Mannheim Rd,Hillside,IL,60162,(708) 547-6516,Suburban Cook West,"350 N Mannheim Rd, Hillside, IL 60162","(41.8776132, -87.88370239999999)",41.8776132,-87.88370239999999
98,Township Supervisor Northwest Cook – Schaumburg,1 Illinois Blvd,Hoffman Estates,IL,60194,(847) 884-0030,Suburban Cook Northwest,"1 Illinois Blvd, Hoffman Estates, IL 60194","(42.0278152, -88.0919843)",42.0278152,-88.0919843
99,Assembly of God Community Food Pantry,2990 Ridge Rd,Lansing,IL,60438,(708) 895-3807,Suburban Cook South,"2990 Ridge Rd, Lansing, IL 60438","(41.5651074, -87.5444143)",41.5651074,-87.5444143
100,CEDA Northwest,1300 W Northwest Hwy,Mount Prospect,IL,60056,(847) 392-2332,Suburban Cook Northwest,"1300 W Northwest Hwy, Mount Prospect, IL 60056","(42.0721284, -87.95528449999999)",42.0721284,-87.95528449999999
101,Niles Senior Center,999 Civic Center Dr,Niles,IL,60714,(847) 588-8420,Suburban Cook North,"999 Civic Center Dr, Niles, IL 60714","(42.02518010000001, -87.8010774)",42.02518010000001,-87.8010774
102,Salvation Army – Corps Community Center Norridge Citadel,8354 W Foster Ave,Norridge,IL,60706,(708) 456-6220,Suburban Cook North,"8354 W Foster Ave, Norridge, IL 60706","(41.974384, -87.8357116)",41.974384,-87.8357116
103,Township Supervisor South Cook – Orland,14807 S Ravinia Ave,Orland Park,IL,60462,(708) 403-4222,Suburban Cook South,"14807 S Ravinia Ave, Orland Park, IL 60462","(41.62077060000001, -87.8564189)",41.62077060000001,-87.8564189
104,Township Supervisor Northwest Cook – Palatine,721 S Quentin Rd,Palatine,IL,60067,(847) 358-6700,Suburban Cook Northwest,"721 S Quentin Rd, Palatine, IL 60067","(42.0965895, -88.0623466)",42.0965895,-88.0623466
105,Center of Concern,1665 El Blvd,Des Plaines,IL,60016,(847) 823-0453,Suburban Cook North,"1665 El Blvd, Des Plaines, IL 60016","(42.0488548, -87.8844309)",42.0488548,-87.8844309
106,Township Supervisor South Cook – Rich,22013 Governors Hwy,Richton Park,IL,60471,(708) 748-6722,Suburban Cook South,"22013 Governors Hwy, Richton Park, IL 60471","(41.489439, -87.712462)",41.489439,-87.712462
107,Niles Township Food Pantry,5255 Lincoln Ave,Skokie,IL,60077,(847) 673-9300,Suburban Cook North,"5255 Lincoln Ave, Skokie, IL 60077","(42.0332576, -87.7591568)",42.0332576,-87.7591568
108,Township Supervisor South Cook – Thornton,333 E 162nd St,South Holland,IL,60473,(708) 596-6040,Suburban Cook South,"333 E 162nd St, South Holland, IL 60473","(41.60035269999999, -87.609222)",41.60035269999999,-87.609222
109,CEDA Southwest,7666 W 63th St,Summit,IL,60501,(708) 458-2736,Suburban Cook West,"7666 W 63th St, Summit, IL 60501","(41.7773379, -87.8131106)",41.7773379,-87.8131106
110,Crisis Center for South Suburbia,6602 W. 111th St,Worth,IL,60482,(708) 429-7255,Suburban Cook South,"6602 W. 111th St, Worth, IL 60482","(41.690862, -87.7842496)",41.690862,-87.7842496
111,Together We Cope,17010 Oak Park Ave,Tinley Park,IL,60477,(708) 633-5040,Suburban Cook South,"17010 Oak Park Ave, Tinley Park, IL 60477","(41.5821008, -87.7850306)",41.5821008,-87.7850306
112,HAVEN Youth and Family Services,825 Green Bay Rd #200,Wilmette,IL,60091,(847) 251-6630,Suburban Cook North,"825 Green Bay Rd #200, Wilmette, IL 60091","(42.0785648, -87.71122249999999)",42.0785648,-87.71122249999999
113,Greater Chicago Food Depository,4100 W. 42nd Place,Chicago,IL,60632,(773) 247-3663,Chicago West,"4100 W. 42nd Place, Chicago, IL 60632","(41.8176944, -87.72691859999999)",41.8176944,-87.72691859999999
114,Chicago Department of Human Services – Trina Davila,4345 W Armitage Ave,Chicago,IL,60647,(312) 744-2014,Chicago Northwest,"4345 W Armitage Ave, Chicago, IL 60647","(41.9166933, -87.73611969999999)",41.9166933,-87.73611969999999
